Altium Designer Pick and Place Locations
D:\payload_satellite\hw\SpaceLiin_Satellite_4U_Laser_Internal_External_V1.1.0\01_DESIGN\SpaceLiin_Satellite_4U_Laser_Internal_External_V1.1.0\Project Outputs for Satellite_4U_Laser_Int_Ext_V110\Pick Place for Satellite_4U_Laser_Int_Ext_V11.csv

========================================================================================================================
File Design Information:

Date:       11-08-26
Time:       18:45
Revision:   cfbf6caf91a756058a775e516fb2a50a1abe9986
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R31","1M","BottomLayer","RES_C_1005X40","38.0125","8.6942","0","RES"
"R30","10k","BottomLayer","RES_C_1005X40","40.8625","8.6942","180","RES"
"R29","1M","BottomLayer","RES_C_1005X40","37.9587","20.9845","0","RES"
"R27","10k","BottomLayer","RES_C_1005X40","40.8087","20.9845","180","RES"
"DZ2","KDZLVTFTR51","BottomLayer","SOD3717X145N","39.4120","6.9426","180","Zenner"
"DZ1","KDZLVTFTR51","BottomLayer","SOD3717X145N","39.3582","19.2329","180","Zenner"
"R49","10R/1%","BottomLayer","RES_SMD_0603_SHUNT","43.2719","11.6953","90","RT0603BRD077R5L"
"R48","40.2R/1%","BottomLayer","RES_SMD_0603_SHUNT","43.2719","22.0490","90","RN73R1JTTD30R0B25"
"J1","0532611171","BottomLayer","MOLEX_0532611171","76.6500","23.7500","270",""
"TP5","","BottomLayer","Testpoint_80","58.9000","19.0000","90","Test Point"
"R6","51R/1%","BottomLayer","RES_SMD_0603_SHUNT","43.2719","25.5002","90","RN73R1JTTD30R0B25"
"R26","1k","BottomLayer","RES_C_1608X60","26.1930","13.9640","270","RES"
"R25","1k","BottomLayer","RES_C_1608X60","26.1392","26.2547","270","RES"
"C23","0.22uF/25V","BottomLayer","CAP_C_1608X80","46.6580","25.0597","0","CAP"
"C6","47uF/20V","BottomLayer","CAP_TANT_2312","9.6710","10.6060","180","TAJC476K020RNJ"
"C24","2200pF/50V","BottomLayer","CAP_C_1608X80","37.7500","12.6050","270","CAP"
"C20","0.22uF/25V","BottomLayer","CAP_C_1608X80","17.1142","18.0560","180","CAP"
"U11","TPS7A4533DCQR","BottomLayer","SOT223-6","19.8723","13.7840","0","TPS7A4533DCQR"
"J3","CLP-111-02-X-D","BottomLayer","SAMTEC_CLP-111-02-X-D","61.0000","15.0000","180","CLP - Samtec 1.27mm Tiger Claw Rugged Reliable Dual Wipe Socket Strip"
"J2","0532611171","BottomLayer","MOLEX_0532611171","61.0000","5.3500","180",""
"U12","MCP4902-E/ST","BottomLayer","TSSOP14","75.9910","54.9600","270","MCP4902-E/ST"
"TP22","","BottomLayer","Testpoint_80","69.0000","53.1000","180","Test Point"
"TP21","","BottomLayer","Testpoint_80","75.2000","49.9000","180","Test Point"
"TP20","","BottomLayer","Testpoint_80","69.0000","50.2000","180","Test Point"
"R47","4.7k","BottomLayer","RES_C_1608X60","71.2470","48.1000","180","RES"
"R46","4.7k","BottomLayer","RES_C_1608X60","71.2470","49.8000","180","RES"
"R45","4.7k","BottomLayer","RES_C_1608X60","74.5490","59.6900","0","RES"
"FB2","BLM18PG121SN1D","BottomLayer","IND_C_1608X60","71.2470","54.2623","180",""
"D44","S2303","BottomLayer","SOT23-3-132","64.7790","9.9790","180","S2303"
"C60","0.22uF/25V","BottomLayer","CAP_C_1608X80","71.2470","56.0757","180","CAP"
"C59","0.22uF/25V","BottomLayer","CAP_C_1608X80","71.2470","52.4739","0","CAP"
"C58","0.22uF/25V","BottomLayer","CAP_C_1608X80","71.2470","59.6775","0","CAP"
"D41","1N4148W-TP","BottomLayer","SOD23","64.3350","42.8300","180","1N4148W-TP"
"D36","1N4148W-TP","BottomLayer","SOD23","59.3050","69.6300","0","1N4148W-TP"
"D37","1N4148W-TP","BottomLayer","SOD23","64.3350","64.8300","180","1N4148W-TP"
"D43","1N4148W-TP","BottomLayer","SOD23","64.3350","31.8300","180","1N4148W-TP"
"D33","1N4148W-TP","BottomLayer","SOD23","23.6440","34.0320","90","1N4148W-TP"
"D13","1N4148W-TP","BottomLayer","SOD23","14.3140","66.5320","90","1N4148W-TP"
"D30","1N4148W-TP","BottomLayer","SOD23","42.3040","34.0320","90","1N4148W-TP"
"LD25","LaserDiode","TopLayer","RLD65NZX1","59.5200","32.3300","90","RLD65NZX1"
"LD29","LaserDiode","TopLayer","RLD65NZX1","59.5200","54.3300","90","RLD65NZX1"
"LD28","LaserDiode","TopLayer","RLD65NZX1","64.1200","48.1300","90","RLD65NZX1"
"LD31","LaserDiode","TopLayer","RLD65NZX1","59.5200","65.3300","90","RLD65NZX1"
"LD27","LaserDiode","TopLayer","RLD65NZX1","59.5200","43.3300","90","RLD65NZX1"
"LD26","LaserDiode","TopLayer","RLD65NZX1","64.1200","37.1300","90","RLD65NZX1"
"LD30","LaserDiode","TopLayer","RLD65NZX1","64.1200","59.1300","90","RLD65NZX1"
"LD32","LaserDiode","TopLayer","RLD65NZX1","64.1200","70.1300","90","RLD65NZX1"
"C14","470pF/50V","BottomLayer","CAP_C_1608X80","27.8440","13.9640","270","CAP"
"D1","SS54","BottomLayer","DO-214AC_SMA","8.9990","22.6710","0","DIODE SCHOTTKY"
"U10","ADG1414BRUZ","BottomLayer","TSSOP24","49.7840","34.6456","270","ADG1414BRUZ"
"U9","ADG1414BRUZ","BottomLayer","TSSOP24","49.7840","50.3428","270","ADG1414BRUZ"
"U8","ADG1414BRUZ","BottomLayer","TSSOP24","49.7840","66.0400","270","ADG1414BRUZ"
"U7","OPA2192","BottomLayer","SO8","32.6700","12.3661","0","OPA2192IDR"
